sample-id	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PF19	biological	feather	feather	DB	Male	U	05/12/21	6	na	Amerodectes	na
PM20	biological	mites	mites	CB	Female	SY	05/12/21	37	37	Amerodectes	Amerodectes
PF20	biological	feather	feather	CB	Female	SY	05/12/21	37	na	Amerodectes	na
H2O	control	control	water_control	water_control	na	na	na	na	na	na	na
ETOH	control	control	etoh_control	etoh_control	na	na	na	na	na	na	na
PM21	biological	mites	mites	Maren	Female	ASY	05/13/21	44	44	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF21	biological	feather	feather	Maren	Female	ASY	05/13/21	44	na	Amerodectes and Proctophyllodes	na
PM22	biological	mites	mites	Rosanne	Female	SY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF22	biological	feather	feather	Rosanne	Female	SY	05/13/21	1	na	Proctophyllodes	na
PM23	biological	mites	mites	Martina	Female	SY	05/13/21	6	6	Proctophyllodes	Proctophyllodes
PF23	biological	feather	feather	Martina	Female	SY	05/13/21	6	na	Proctophyllodes	na
PM24	biological	mites	mites	Yellow B	Female	ASY	05/13/21	76	76	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF24	biological	feather	feather	Yellow B	Female	ASY	05/13/21	76	na	Amerodectes and Proctophyllodes	na
PM25	biological	mites	mites	Tony	Male	SY	05/14/21	267	267	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF25	biological	feather	feather	Tony	Male	SY	05/14/21	267	na	Amerodectes and Proctophyllodes	na
WASH25	control	control	wash_control	wash_control	na	na	na	na	na	na	na
AKC03	control	control	area_control	area_control	na	na	na	na	na	na	na
KITB01	control	control	kit_control	kit_control	na	na	na	na	na	na	na
PM26	biological	mites	mites	Tyus	Male	SY	05/14/21	90	90	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF26	biological	feather	feather	Tyus	Male	SY	05/14/21	90	na	Amerodectes and Proctophyllodes	na
PM27	biological	mites	mites	Grayson	Male	SY	05/14/21	7	7	Proctophyllodes	Proctophyllodes
PF27	biological	feather	feather	Grayson	Male	SY	05/14/21	7	na	Proctophyllodes	na
PM28	biological	mites	mites	Matt Foley	Male	SY	05/14/21	12	12	Amerodectes	Amerodectes
PF28	biological	feather	feather	Matt Foley	Male	SY	05/14/21	12	na	Amerodectes	na
PM29	biological	mites	mites	Kayce	Female	ASY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF29	biological	feather	feather	Kayce	Female	ASY	05/13/21	1	na	Proctophyllodes	na
PM30	biological	mites	mites	Trisha	Female	SY	05/14/21	135	135	Amerodectes	Amerodectes
PF30	biological	feather	feather	Trisha	Female	SY	05/14/21	135	na	Amerodectes	na
KITB02	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC04	control	control	area_control	area_control	na	na	na	na	na	na	na
WASH26	control	control	wash_control	wash_control	na	na	na	na	na	na	na
PCR1Blank1	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na
PCR1Blank2	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na

