sample-id	forward-absolute-filepath	reverse-absolute-filepath	sample_group_id	run	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date
PF13_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix106-PF13_S158/Alix106-PF13_S158_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix106-PF13_S158/Alix106-PF13_S158_L001_R2_001.fastq.gz	PF13	Run1	biological	feather	feather	Patsy	Female	SY	5/6/21
PM14_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix107-PM14_S159/Alix107-PM14_S159_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix107-PM14_S159/Alix107-PM14_S159_L001_R2_001.fastq.gz	PM14	Run1	biological	mites	mites	Reba	Female	SY	5/6/21
PF14_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix108-PF14_S160/Alix108-PF14_S160_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix108-PF14_S160/Alix108-PF14_S160_L001_R2_001.fastq.gz	PF14	Run1	biological	feather	feather	Reba	Female	SY	5/6/21
PF15_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix109-PF15_S161/Alix109-PF15_S161_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix109-PF15_S161/Alix109-PF15_S161_L001_R2_001.fastq.gz	PF15	Run1	biological	feather	feather	DeAnthony	Male	SY	5/12/21
WASH14_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix110-WASH14_S162/Alix110-WASH14_S162_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix110-WASH14_S162/Alix110-WASH14_S162_L001_R2_001.fastq.gz	WASH14	Run1	control	control	wash_control	wash_control	na	na	na
KITA02_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix111-KITA02_S163/Alix111-KITA02_S163_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix111-KITA02_S163/Alix111-KITA02_S163_L001_R2_001.fastq.gz	KITA02	Run1	control	control	kit_control	kit_control	na	na	na
AKC02_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix112-AKC02_S164/Alix112-AKC02_S164_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix112-AKC02_S164/Alix112-AKC02_S164_L001_R2_001.fastq.gz	AKC02	Run1	control	control	area_control	area_control	na	na	na
PM16_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix113-PM16_S165/Alix113-PM16_S165_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix113-PM16_S165/Alix113-PM16_S165_L001_R2_001.fastq.gz	PM16	Run1	biological	mites	mites	Lucinda	Female	ASY	5/6/21
PF16_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix114-PF16_S166/Alix114-PF16_S166_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix114-PF16_S166/Alix114-PF16_S166_L001_R2_001.fastq.gz	PF16	Run1	biological	feather	feather	Lucinda	Female	ASY	5/6/21
PM17_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix115-PM17_S167/Alix115-PM17_S167_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix115-PM17_S167/Alix115-PM17_S167_L001_R2_001.fastq.gz	PM17	Run1	biological	mites	mites	Rebound	Male	SY	5/12/21
PF17_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix116-PF17_S168/Alix116-PF17_S168_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix116-PF17_S168/Alix116-PF17_S168_L001_R2_001.fastq.gz	PF17	Run1	biological	feather	feather	Rebound	Male	SY	5/12/21
PM18_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix117-PM18_S169/Alix117-PM18_S169_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix117-PM18_S169/Alix117-PM18_S169_L001_R2_001.fastq.gz	PM18	Run1	biological	mites	mites	Desmond	Male	ASY	5/12/21
PF18_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix118-PF18_S170/Alix118-PF18_S170_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix118-PF18_S170/Alix118-PF18_S170_L001_R2_001.fastq.gz	PF18	Run1	biological	feather	feather	Desmond	Male	ASY	5/12/21
PM19_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix119-PM19_S171/Alix119-PM19_S171_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix119-PM19_S171/Alix119-PM19_S171_L001_R2_001.fastq.gz	PM19	Run1	biological	mites	mites	DB	Male	U	5/12/21
PF19_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix120-PF19_S172/Alix120-PF19_S172_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix120-PF19_S172/Alix120-PF19_S172_L001_R2_001.fastq.gz	PF19	Run1	biological	feather	feather	DB	Male	U	5/12/21
PM20_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix121-PM20_S173/Alix121-PM20_S173_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix121-PM20_S173/Alix121-PM20_S173_L001_R2_001.fastq.gz	PM20	Run1	biological	mites	mites	CB	Female	SY	5/12/21
PF20_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix122-PF20_S174/Alix122-PF20_S174_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix122-PF20_S174/Alix122-PF20_S174_L001_R2_001.fastq.gz	PF20	Run1	biological	feather	feather	CB	Female	SY	5/12/21
H2O_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix123-H2O_S175/Alix123-H2O_S175_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix123-H2O_S175/Alix123-H2O_S175_L001_R2_001.fastq.gz	H2O	Run1	control	control	water_control	water_control	na	na	na
ETOH_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix124-ETOH_S176/Alix124-ETOH_S176_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix124-ETOH_S176/Alix124-ETOH_S176_L001_R2_001.fastq.gz	ETOH	Run1	control	control	etoh_control	etoh_control	na	na	na
PM21_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix125-PM21_S177/Alix125-PM21_S177_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix125-PM21_S177/Alix125-PM21_S177_L001_R2_001.fastq.gz	PM21	Run1	biological	mites	mites	Maren	Female	ASY	5/13/21
PF21_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix126-PF21_S178/Alix126-PF21_S178_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix126-PF21_S178/Alix126-PF21_S178_L001_R2_001.fastq.gz	PF21	Run1	biological	feather	feather	Maren	Female	ASY	5/13/21
PM22_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix127-PM22_S179/Alix127-PM22_S179_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix127-PM22_S179/Alix127-PM22_S179_L001_R2_001.fastq.gz	PM22	Run1	biological	mites	mites	Rosanne	Female	SY	5/13/21
PF22_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix128-PF22_S180/Alix128-PF22_S180_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix128-PF22_S180/Alix128-PF22_S180_L001_R2_001.fastq.gz	PF22	Run1	biological	feather	feather	Rosanne	Female	SY	5/13/21
PM23_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix129-PM23_S181/Alix129-PM23_S181_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix129-PM23_S181/Alix129-PM23_S181_L001_R2_001.fastq.gz	PM23	Run1	biological	mites	mites	Martina	Female	SY	5/13/21
PF23_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix130-PF23_S182/Alix130-PF23_S182_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix130-PF23_S182/Alix130-PF23_S182_L001_R2_001.fastq.gz	PF23	Run1	biological	feather	feather	Martina	Female	SY	5/13/21
PM24_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix131-PM24_S183/Alix131-PM24_S183_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix131-PM24_S183/Alix131-PM24_S183_L001_R2_001.fastq.gz	PM24	Run1	biological	mites	mites	Yellow B	Female	ASY	5/13/21
PF24_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix132-PF24_S184/Alix132-PF24_S184_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix132-PF24_S184/Alix132-PF24_S184_L001_R2_001.fastq.gz	PF24	Run1	biological	feather	feather	Yellow B	Female	ASY	5/13/21
PM25_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix133-PM25_S185/Alix133-PM25_S185_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix133-PM25_S185/Alix133-PM25_S185_L001_R2_001.fastq.gz	PM25	Run1	biological	mites	mites	Tony	Male	SY	5/14/21
PF25_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix134-PF25_S186/Alix134-PF25_S186_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix134-PF25_S186/Alix134-PF25_S186_L001_R2_001.fastq.gz	PF25	Run1	biological	feather	feather	Tony	Male	SY	5/14/21
WASH25_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix135-WASH25_S187/Alix135-WASH25_S187_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix135-WASH25_S187/Alix135-WASH25_S187_L001_R2_001.fastq.gz	WASH25	Run1	control	control	wash_control	wash_control	na	na	na
AKC03_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix136-AKC03_S188/Alix136-AKC03_S188_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix136-AKC03_S188/Alix136-AKC03_S188_L001_R2_001.fastq.gz	AKC03	Run1	control	control	area_control	area_control	na	na	na
KITB01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix137-KITB01_S189/Alix137-KITB01_S189_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix137-KITB01_S189/Alix137-KITB01_S189_L001_R2_001.fastq.gz	KITB01	Run1	control	control	kit_control	kit_control	na	na	na
PM26_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix138-PM26_S190/Alix138-PM26_S190_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix138-PM26_S190/Alix138-PM26_S190_L001_R2_001.fastq.gz	PM26	Run1	biological	mites	mites	Tyus	Male	SY	5/14/21
PF26_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix139-PF26_S191/Alix139-PF26_S191_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix139-PF26_S191/Alix139-PF26_S191_L001_R2_001.fastq.gz	PF26	Run1	biological	feather	feather	Tyus	Male	SY	5/14/21
PM27_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix140-PM27_S192/Alix140-PM27_S192_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix140-PM27_S192/Alix140-PM27_S192_L001_R2_001.fastq.gz	PM27	Run1	biological	mites	mites	Grayson	Male	SY	5/14/21
PF27_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix141-PF27_S193/Alix141-PF27_S193_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix141-PF27_S193/Alix141-PF27_S193_L001_R2_001.fastq.gz	PF27	Run1	biological	feather	feather	Grayson	Male	SY	5/14/21
PM28_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix142-PM28_S194/Alix142-PM28_S194_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix142-PM28_S194/Alix142-PM28_S194_L001_R2_001.fastq.gz	PM28	Run1	biological	mites	mites	Matt Foley	Male	SY	5/14/21
PF28_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix143-PF28_S195/Alix143-PF28_S195_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix143-PF28_S195/Alix143-PF28_S195_L001_R2_001.fastq.gz	PF28	Run1	biological	feather	feather	Matt Foley	Male	SY	5/14/21
PM29_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix144-PM29_S196/Alix144-PM29_S196_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix144-PM29_S196/Alix144-PM29_S196_L001_R2_001.fastq.gz	PM29	Run1	biological	mites	mites	Kayce	Female	ASY	5/13/21
PF29_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix145-PF29_S197/Alix145-PF29_S197_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix145-PF29_S197/Alix145-PF29_S197_L001_R2_001.fastq.gz	PF29	Run1	biological	feather	feather	Kayce	Female	ASY	5/13/21
PM30_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix146-PM30_S198/Alix146-PM30_S198_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix146-PM30_S198/Alix146-PM30_S198_L001_R2_001.fastq.gz	PM30	Run1	biological	mites	mites	Trisha	Female	SY	5/14/21
PF30_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix147-PF30_S199/Alix147-PF30_S199_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix147-PF30_S199/Alix147-PF30_S199_L001_R2_001.fastq.gz	PF30	Run1	biological	feather	feather	Trisha	Female	SY	5/14/21
KITB02_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix148-KITB02_S200/Alix148-KITB02_S200_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix148-KITB02_S200/Alix148-KITB02_S200_L001_R2_001.fastq.gz	KITB02	Run1	control	control	kit_control	kit_control	na	na	na
AKC04_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix149-AKC04_S201/Alix149-AKC04_S201_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix149-AKC04_S201/Alix149-AKC04_S201_L001_R2_001.fastq.gz	AKC04	Run1	control	control	area_control	area_control	na	na	na
WASH26_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix150-WASH26_S202/Alix150-WASH26_S202_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix150-WASH26_S202/Alix150-WASH26_S202_L001_R2_001.fastq.gz	WASH26	Run1	control	control	wash_control	wash_control	na	na	na
PCR1Blank1_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix151-PCR1Blank1_S203/Alix151-PCR1Blank1_S203_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix151-PCR1Blank1_S203/Alix151-PCR1Blank1_S203_L001_R2_001.fastq.gz	PCR1Blank1	Run1	control	control	pcr_control	pcr_control	na	na	na
PCR1Blank2_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix152-PCR1Blank2_S204/Alix152-PCR1Blank2_S204_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix152-PCR1Blank2_S204/Alix152-PCR1Blank2_S204_L001_R2_001.fastq.gz	PCR1Blank2	Run1	control	control	pcr_control	pcr_control	na	na	na
PM01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S53/Alix077-PM01_S53_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S53/Alix077-PM01_S53_L001_R2_001.fastq.gz	PM01	Run2	biological	mites	mites	Ja	Male	ASY	4/30/21
PF01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S54/Alix078-PF01_S54_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S54/Alix078-PF01_S54_L001_R2_001.fastq.gz	PF01	Run2	biological	feather	feather	Ja	Male	ASY	4/30/21
PM02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S55/Alix079-PM02_S55_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S55/Alix079-PM02_S55_L001_R2_001.fastq.gz	PM02	Run2	biological	mites	mites	Swamp Roach	Male	ASY	4/30/21
PF02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S56/Alix080-PF02_S56_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S56/Alix080-PF02_S56_L001_R2_001.fastq.gz	PF02	Run2	biological	feather	feather	Swamp Roach	Male	ASY	4/30/21
