sample-id,bio_or_control,category_broad,category_specific,bird_id,shannon_500_16s,chao_500_16s,RPCA_pc1_500_16S,RPCA_pc2_500_16S,shannon_500_its,chao_500_its,RPCA_pc1_500_its,RPCA_pc2_500_its
PM10,biological,mites,mites,Ms. Zip,2.21686422097461,9,-0.063393588837942,-0.031863081258963,3.44537561595839,13,-0.043422237396782,0.145596190490551
PF10,biological,feather,feather,Ms. Zip,na,na,na,na,na,na,na,na
PM11,biological,mites,mites,Dolly,2.24141628540764,34,-0.193891924261225,0.060275314656355,3.96941375410954,21,-0.050567220301574,0.133992020321607
PF11,biological,feather,feather,Dolly,6.63296746800124,320.25,0.091410175316885,-0.567893520057108,5.27966580140276,109,-0.07298955728798,-0.05999551752914
PM12,biological,mites,mites,Shania,4.36980549897032,46,-0.030429639460646,0.032032740390052,2.5174339124884,9,-0.107911231397199,0.205329011749597
PF12,biological,feather,feather,Shania,6.10307205946477,160,0.360112881193882,-0.067857206803079,5.107132057548,106,-0.060807487262419,-0.078641062013919
PM13,biological,mites,mites,Patsy,2.93683381628478,34,-0.131104928804692,0.040685926343093,na,na,na,na
PF13,biological,feather,feather,Patsy,3.79320612238243,28,0.14447297561656,-0.176503096838702,na,na,na,na
PM14,biological,mites,mites,Reba,2.81092002351166,20,-0.101175789091077,-0.031781269260085,4.16520235465825,34,0.001702981262924,0.034066046847183
PF14,biological,feather,feather,Reba,na,na,na,na,5.14181346548804,119,0.145380332059502,0.006172537419899
PF15,biological,feather,feather,DeAnthony,na,na,na,na,5.09532511170263,51,-0.0102460955215,0.099547647721618
WASH14,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na
KITA02,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na
AKC02,control,control,area_control,area_control,na,na,na,na,na,na,na,na
PM16,biological,mites,mites,Lucinda,2.05323607057055,30,-0.158707146915152,0.036633694893678,3.6830071747659,29,-0.029259622430149,-0.009720905996803
PF16,biological,feather,feather,Lucinda,5.97927646163237,212,0.236359154725797,0.08490802424278,4.54828144838844,137,-0.058539914518707,-0.16654556137095
PM17,biological,mites,mites,Rebound,3.49368207219836,19,-0.011402588178014,0.026309550286402,3.32894868194127,27,-0.029368480001795,-0.016600701782698
PF17,biological,feather,feather,Rebound,5.97987485238886,257.75,-0.393264801029038,-0.027949117598195,5.44065830682672,409,0.278165774891659,-0.082303302671881
PM18,biological,mites,mites,Desmond,2.30278141389581,25,-0.158890788031506,0.032762111673795,4.08242154086738,24,-0.066475828336703,0.131178078509788
PF18,biological,feather,feather,Desmond,3.51237591834684,54,-0.108425857785834,-0.033429846459905,5.31544944506085,93,0.053443125047256,-0.002220495931215
PM19,biological,mites,mites,DB,na,na,na,na,3.15418715354136,15,-0.137467753887688,0.180084693150955
PF19,biological,feather,feather,DB,na,na,na,na,7.39172784780047,1055,0.715744826700951,-0.133972015672668
PM20,biological,mites,mites,CB,na,na,na,na,4.00004282539506,28,-0.083398382577153,0.116183825066905
PF20,biological,feather,feather,CB,na,na,na,na,7.78146053226223,976,0.476619955180125,0.402059891748302
H2O,control,control,water_control,water_control,na,na,na,na,na,na,na,na
ETOH,control,control,etoh_control,etoh_control,na,na,na,na,na,na,na,na
PM21,biological,mites,mites,Maren,4.45978282039507,69,-0.220111314258599,0.052883667652602,3.04375197046146,21,-0.000823775078282,-0.021328177882663
PF21,biological,feather,feather,Maren,5.09275282463875,91,0.017317209500084,0.155050948747817,5.57120884622846,141,-0.110713681594501,-0.147201866297295
PM22,biological,mites,mites,Rosanne,3.41920183853256,41,-0.063613350066385,0.143569652728252,3.34050340067236,12,-0.050561179455937,0.13549046123355
PF22,biological,feather,feather,Rosanne,5.45220893576593,99.75,0.037273640961162,0.087356588272031,5.61051065938735,117,-0.043166752177938,-0.090564687569785
PM23,biological,mites,mites,Martina,4.51147525903416,52,-0.020328400864166,0.038661926606463,3.44332233293785,12,-0.049796601502124,0.139775763542956
PF23,biological,feather,feather,Martina,4.5316466212055,44,0.070292998960395,0.063708706697437,4.31164869921327,72,-0.041833416127619,-0.06787170314721
PM24,biological,mites,mites,Yellow B,na,na,na,na,3.76847202589644,18,-0.034351634576524,0.080893025154213
PF24,biological,feather,feather,Yellow B,3.82575169642019,31,0.148830116633749,0.083129022948251,5.61711017612268,172,-0.130388794505235,-0.234755408658972
PM25,biological,mites,mites,Tony,5.84019626149828,71,-0.073998358924993,-0.023253783873942,2.67786420696623,17,-0.032750578500317,0.038166828629889
PF25,biological,feather,feather,Tony,na,na,na,na,na,na,na,na
WASH25,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na
AKC03,control,control,area_control,area_control,na,na,na,na,na,na,na,na
KITB01,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na
PM26,biological,mites,mites,Tyus,3.08607176406904,47,0.007528285440592,0.173154846564067,3.34266191535612,19,-0.036568509604768,0.051737306836606
PF26,biological,feather,feather,Tyus,5.67498696717251,175.5,-0.062023583757764,-0.197174910396454,5.75997821067157,288,0.029443425649153,-0.205572449342517
PM27,biological,mites,mites,Grayson,1.21324995217046,32,0.160490331856736,0.268938311508924,4.66194365513719,65,-0.014281757623348,-0.052862411191219
PF27,biological,feather,feather,Grayson,3.96539798846588,244,0.288064272916961,0.3119211715376,5.97741726477452,450,0.076558055378476,-0.298590219590624
PM28,biological,mites,mites,Matt Foley,4.74276581573557,48,-0.129045689716071,0.039049073832583,2.64106236315549,13,-0.047847263255565,0.132401220460359
PF28,biological,feather,feather,Matt Foley,na,na,na,na,5.05135503092824,147,0.05192804924402,-0.138829303782582
PM29,biological,mites,mites,Kayce,na,na,na,na,3.50141544997632,14,-0.05085601072307,0.133328322631704
PF29,biological,feather,feather,Kayce,5.98750478269251,134,0.240239504175038,0.161224831464581,6.09777661327347,403,-0.034621014632627,-0.342995911520408
PM30,biological,mites,mites,Trisha,3.21597337959489,21,-0.114166806126409,-0.043277163974368,4.3843980214824,54,-0.075206129595873,-0.082332263555783
PF30,biological,feather,feather,Trisha,5.57611768198428,70,-0.085295121829134,0.00072538572223,na,na,na,na
KITB02,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na
AKC04,control,control,area_control,area_control,na,na,na,na,na,na,na,na
WASH26,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na
PCR1Blank1,control,control,pcr_control,pcr_control,na,na,na,na,na,na,na,na
PCR1Blank2,control,control,pcr_control,pcr_control,na,na,na,na,na,na,na,na
