sample-id	forward-absolute-filepath	reverse-absolute-filepath	sample_group_id	run	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date
PM06_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix087-PM06_S63/Alix087-PM06_S63_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix087-PM06_S63/Alix087-PM06_S63_L001_R2_001.fastq.gz	PM06	Run2	biological	mites	mites	Flatten the Curve	Male	ASY	5/5/21
PF06_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix088-PF06_S64/Alix088-PF06_S64_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix088-PF06_S64/Alix088-PF06_S64_L001_R2_001.fastq.gz	PF06	Run2	biological	feather	feather	Flatten the Curve	Male	ASY	5/5/21
PM07_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix089-PM07_S65/Alix089-PM07_S65_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix089-PM07_S65/Alix089-PM07_S65_L001_R2_001.fastq.gz	PM07	Run2	biological	mites	mites	Loretta	Female	SY	5/5/21
PF07_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix090-PF07_S66/Alix090-PF07_S66_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix090-PF07_S66/Alix090-PF07_S66_L001_R2_001.fastq.gz	PF07	Run2	biological	feather	feather	Loretta	Female	SY	5/5/21
WASH01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix091-WASH01_S67/Alix091-WASH01_S67_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix091-WASH01_S67/Alix091-WASH01_S67_L001_R2_001.fastq.gz	WASH01	Run2	control	control	wash_control	wash_control	na	na	na
WASH03_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix092-WASH03_S68/Alix092-WASH03_S68_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix092-WASH03_S68/Alix092-WASH03_S68_L001_R2_001.fastq.gz	WASH03	Run2	control	control	wash_control	wash_control	na	na	na
KITA01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix093-KITA01_S69/Alix093-KITA01_S69_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix093-KITA01_S69/Alix093-KITA01_S69_L001_R2_001.fastq.gz	KITA01	Run2	control	control	kit_control	kit_control	na	na	na
AKC01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix094-AKC01_S70/Alix094-AKC01_S70_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix094-AKC01_S70/Alix094-AKC01_S70_L001_R2_001.fastq.gz	AKC01	Run2	control	control	area_control	area_control	na	na	na
PM08_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix095-PM08_S71/Alix095-PM08_S71_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix095-PM08_S71/Alix095-PM08_S71_L001_R2_001.fastq.gz	PM08	Run2	biological	mites	mites	Cash	Male	ASY	5/5/21
PF08_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix096-PF08_S72/Alix096-PF08_S72_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix096-PF08_S72/Alix096-PF08_S72_L001_R2_001.fastq.gz	PF08	Run2	biological	feather	feather	Cash	Male	ASY	5/6/21
PM09_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix097-PM09_S73/Alix097-PM09_S73_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix097-PM09_S73/Alix097-PM09_S73_L001_R2_001.fastq.gz	PM09	Run2	biological	mites	mites	Mary Girl	Female	ASY	5/6/21
PF09_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix098-PF09_S74/Alix098-PF09_S74_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix098-PF09_S74/Alix098-PF09_S74_L001_R2_001.fastq.gz	PF09	Run2	biological	feather	feather	Mary Girl	Female	ASY	5/6/21
PM10_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix099-PM10_S75/Alix099-PM10_S75_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix099-PM10_S75/Alix099-PM10_S75_L001_R2_001.fastq.gz	PM10	Run2	biological	mites	mites	Ms. Zip	Female	ASY	5/6/21
PF10_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix100-PF10_S76/Alix100-PF10_S76_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix100-PF10_S76/Alix100-PF10_S76_L001_R2_001.fastq.gz	PF10	Run2	biological	feather	feather	Ms. Zip	Female	ASY	5/6/21
PM11_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix101-PM11_S77/Alix101-PM11_S77_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix101-PM11_S77/Alix101-PM11_S77_L001_R2_001.fastq.gz	PM11	Run2	biological	mites	mites	Dolly	Female	ASY	5/6/21
PF11_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix102-PF11_S78/Alix102-PF11_S78_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix102-PF11_S78/Alix102-PF11_S78_L001_R2_001.fastq.gz	PF11	Run2	biological	feather	feather	Dolly	Female	ASY	5/6/21
PM12_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix103-PM12_S79/Alix103-PM12_S79_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix103-PM12_S79/Alix103-PM12_S79_L001_R2_001.fastq.gz	PM12	Run2	biological	mites	mites	Shania	Female	ASY	5/6/21
PF12_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix104-PF12_S80/Alix104-PF12_S80_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix104-PF12_S80/Alix104-PF12_S80_L001_R2_001.fastq.gz	PF12	Run2	biological	feather	feather	Shania	Female	ASY	5/6/21
PM13_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix105-PM13_S81/Alix105-PM13_S81_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix105-PM13_S81/Alix105-PM13_S81_L001_R2_001.fastq.gz	PM13	Run2	biological	mites	mites	Patsy	Female	SY	5/6/21
PF13_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix106-PF13_S82/Alix106-PF13_S82_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix106-PF13_S82/Alix106-PF13_S82_L001_R2_001.fastq.gz	PF13	Run2	biological	feather	feather	Patsy	Female	SY	5/6/21
PM14_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix107-PM14_S83/Alix107-PM14_S83_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix107-PM14_S83/Alix107-PM14_S83_L001_R2_001.fastq.gz	PM14	Run2	biological	mites	mites	Reba	Female	SY	5/6/21
PF14_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix108-PF14_S84/Alix108-PF14_S84_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix108-PF14_S84/Alix108-PF14_S84_L001_R2_001.fastq.gz	PF14	Run2	biological	feather	feather	Reba	Female	SY	5/6/21
PF15_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix109-PF15_S85/Alix109-PF15_S85_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix109-PF15_S85/Alix109-PF15_S85_L001_R2_001.fastq.gz	PF15	Run2	biological	feather	feather	DeAnthony	Male	SY	5/12/21
WASH14_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix110-WASH14_S86/Alix110-WASH14_S86_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix110-WASH14_S86/Alix110-WASH14_S86_L001_R2_001.fastq.gz	WASH14	Run2	control	control	wash_control	wash_control	na	na	na
KITA02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix111-KITA02_S87/Alix111-KITA02_S87_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix111-KITA02_S87/Alix111-KITA02_S87_L001_R2_001.fastq.gz	KITA02	Run2	control	control	kit_control	kit_control	na	na	na
AKC02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix112-AKC02_S88/Alix112-AKC02_S88_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix112-AKC02_S88/Alix112-AKC02_S88_L001_R2_001.fastq.gz	AKC02	Run2	control	control	area_control	area_control	na	na	na
PM16_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix113-PM16_S89/Alix113-PM16_S89_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix113-PM16_S89/Alix113-PM16_S89_L001_R2_001.fastq.gz	PM16	Run2	biological	mites	mites	Lucinda	Female	ASY	5/6/21
PF16_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix114-PF16_S90/Alix114-PF16_S90_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix114-PF16_S90/Alix114-PF16_S90_L001_R2_001.fastq.gz	PF16	Run2	biological	feather	feather	Lucinda	Female	ASY	5/6/21
PM17_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix115-PM17_S91/Alix115-PM17_S91_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix115-PM17_S91/Alix115-PM17_S91_L001_R2_001.fastq.gz	PM17	Run2	biological	mites	mites	Rebound	Male	SY	5/12/21
PF17_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix116-PF17_S92/Alix116-PF17_S92_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix116-PF17_S92/Alix116-PF17_S92_L001_R2_001.fastq.gz	PF17	Run2	biological	feather	feather	Rebound	Male	SY	5/12/21
PM18_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix117-PM18_S93/Alix117-PM18_S93_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix117-PM18_S93/Alix117-PM18_S93_L001_R2_001.fastq.gz	PM18	Run2	biological	mites	mites	Desmond	Male	ASY	5/12/21
PF18_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix118-PF18_S94/Alix118-PF18_S94_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix118-PF18_S94/Alix118-PF18_S94_L001_R2_001.fastq.gz	PF18	Run2	biological	feather	feather	Desmond	Male	ASY	5/12/21
PM19_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix119-PM19_S95/Alix119-PM19_S95_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix119-PM19_S95/Alix119-PM19_S95_L001_R2_001.fastq.gz	PM19	Run2	biological	mites	mites	DB	Male	U	5/12/21
PF19_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix120-PF19_S96/Alix120-PF19_S96_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix120-PF19_S96/Alix120-PF19_S96_L001_R2_001.fastq.gz	PF19	Run2	biological	feather	feather	DB	Male	U	5/12/21
PM20_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix121-PM20_S97/Alix121-PM20_S97_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix121-PM20_S97/Alix121-PM20_S97_L001_R2_001.fastq.gz	PM20	Run2	biological	mites	mites	CB	Female	SY	5/12/21
PF20_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix122-PF20_S98/Alix122-PF20_S98_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix122-PF20_S98/Alix122-PF20_S98_L001_R2_001.fastq.gz	PF20	Run2	biological	feather	feather	CB	Female	SY	5/12/21
H2O_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix123-H2O_S99/Alix123-H2O_S99_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix123-H2O_S99/Alix123-H2O_S99_L001_R2_001.fastq.gz	H2O	Run2	control	control	water_control	water_control	na	na	na
ETOH_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix124-ETOH_S100/Alix124-ETOH_S100_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix124-ETOH_S100/Alix124-ETOH_S100_L001_R2_001.fastq.gz	ETOH	Run2	control	control	etoh_control	etoh_control	na	na	na
PM21_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix125-PM21_S101/Alix125-PM21_S101_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix125-PM21_S101/Alix125-PM21_S101_L001_R2_001.fastq.gz	PM21	Run2	biological	mites	mites	Maren	Female	ASY	5/13/21
PF21_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix126-PF21_S102/Alix126-PF21_S102_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix126-PF21_S102/Alix126-PF21_S102_L001_R2_001.fastq.gz	PF21	Run2	biological	feather	feather	Maren	Female	ASY	5/13/21
PM22_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix127-PM22_S103/Alix127-PM22_S103_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix127-PM22_S103/Alix127-PM22_S103_L001_R2_001.fastq.gz	PM22	Run2	biological	mites	mites	Rosanne	Female	SY	5/13/21
PF22_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix128-PF22_S104/Alix128-PF22_S104_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix128-PF22_S104/Alix128-PF22_S104_L001_R2_001.fastq.gz	PF22	Run2	biological	feather	feather	Rosanne	Female	SY	5/13/21
PM23_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix129-PM23_S105/Alix129-PM23_S105_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix129-PM23_S105/Alix129-PM23_S105_L001_R2_001.fastq.gz	PM23	Run2	biological	mites	mites	Martina	Female	SY	5/13/21
PF23_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix130-PF23_S106/Alix130-PF23_S106_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix130-PF23_S106/Alix130-PF23_S106_L001_R2_001.fastq.gz	PF23	Run2	biological	feather	feather	Martina	Female	SY	5/13/21
PM24_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix131-PM24_S107/Alix131-PM24_S107_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix131-PM24_S107/Alix131-PM24_S107_L001_R2_001.fastq.gz	PM24	Run2	biological	mites	mites	Yellow B	Female	ASY	5/13/21
PF24_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix132-PF24_S108/Alix132-PF24_S108_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix132-PF24_S108/Alix132-PF24_S108_L001_R2_001.fastq.gz	PF24	Run2	biological	feather	feather	Yellow B	Female	ASY	5/13/21
PM25_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix133-PM25_S109/Alix133-PM25_S109_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix133-PM25_S109/Alix133-PM25_S109_L001_R2_001.fastq.gz	PM25	Run2	biological	mites	mites	Tony	Male	SY	5/14/21
PF25_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix134-PF25_S110/Alix134-PF25_S110_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix134-PF25_S110/Alix134-PF25_S110_L001_R2_001.fastq.gz	PF25	Run2	biological	feather	feather	Tony	Male	SY	5/14/21
WASH25_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix135-WASH25_S111/Alix135-WASH25_S111_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix135-WASH25_S111/Alix135-WASH25_S111_L001_R2_001.fastq.gz	WASH25	Run2	control	control	wash_control	wash_control	na	na	na
AKC03_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix136-AKC03_S112/Alix136-AKC03_S112_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix136-AKC03_S112/Alix136-AKC03_S112_L001_R2_001.fastq.gz	AKC03	Run2	control	control	area_control	area_control	na	na	na
KITB01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix137-KITB01_S113/Alix137-KITB01_S113_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix137-KITB01_S113/Alix137-KITB01_S113_L001_R2_001.fastq.gz	KITB01	Run2	control	control	kit_control	kit_control	na	na	na
PM26_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix138-PM26_S114/Alix138-PM26_S114_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix138-PM26_S114/Alix138-PM26_S114_L001_R2_001.fastq.gz	PM26	Run2	biological	mites	mites	Tyus	Male	SY	5/14/21
PF26_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix139-PF26_S115/Alix139-PF26_S115_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix139-PF26_S115/Alix139-PF26_S115_L001_R2_001.fastq.gz	PF26	Run2	biological	feather	feather	Tyus	Male	SY	5/14/21
PM27_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix140-PM27_S116/Alix140-PM27_S116_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix140-PM27_S116/Alix140-PM27_S116_L001_R2_001.fastq.gz	PM27	Run2	biological	mites	mites	Grayson	Male	SY	5/14/21
PF27_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix141-PF27_S117/Alix141-PF27_S117_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix141-PF27_S117/Alix141-PF27_S117_L001_R2_001.fastq.gz	PF27	Run2	biological	feather	feather	Grayson	Male	SY	5/14/21
PM28_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix142-PM28_S118/Alix142-PM28_S118_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix142-PM28_S118/Alix142-PM28_S118_L001_R2_001.fastq.gz	PM28	Run2	biological	mites	mites	Matt Foley	Male	SY	5/14/21
PF28_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix143-PF28_S119/Alix143-PF28_S119_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix143-PF28_S119/Alix143-PF28_S119_L001_R2_001.fastq.gz	PF28	Run2	biological	feather	feather	Matt Foley	Male	SY	5/14/21
PM29_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix144-PM29_S120/Alix144-PM29_S120_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix144-PM29_S120/Alix144-PM29_S120_L001_R2_001.fastq.gz	PM29	Run2	biological	mites	mites	Kayce	Female	ASY	5/13/21
PF29_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix145-PF29_S121/Alix145-PF29_S121_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix145-PF29_S121/Alix145-PF29_S121_L001_R2_001.fastq.gz	PF29	Run2	biological	feather	feather	Kayce	Female	ASY	5/13/21
PM30_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix146-PM30_S122/Alix146-PM30_S122_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix146-PM30_S122/Alix146-PM30_S122_L001_R2_001.fastq.gz	PM30	Run2	biological	mites	mites	Trisha	Female	SY	5/14/21
PF30_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix147-PF30_S123/Alix147-PF30_S123_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix147-PF30_S123/Alix147-PF30_S123_L001_R2_001.fastq.gz	PF30	Run2	biological	feather	feather	Trisha	Female	SY	5/14/21
KITB02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix148-KITB02_S124/Alix148-KITB02_S124_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix148-KITB02_S124/Alix148-KITB02_S124_L001_R2_001.fastq.gz	KITB02	Run2	control	control	kit_control	kit_control	na	na	na
AKC04_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix149-AKC04_S125/Alix149-AKC04_S125_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix149-AKC04_S125/Alix149-AKC04_S125_L001_R2_001.fastq.gz	AKC04	Run2	control	control	area_control	area_control	na	na	na
WASH26_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix150-WASH26_S126/Alix150-WASH26_S126_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix150-WASH26_S126/Alix150-WASH26_S126_L001_R2_001.fastq.gz	WASH26	Run2	control	control	wash_control	wash_control	na	na	na
PCR1Blank1_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix151-PCR1Blank1_S127/Alix151-PCR1Blank1_S127_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix151-PCR1Blank1_S127/Alix151-PCR1Blank1_S127_L001_R2_001.fastq.gz	PCR1Blank1	Run2	control	control	pcr_control	pcr_control	na	na	na
PCR1Blank2_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix152-PCR1Blank2_S128/Alix152-PCR1Blank2_S128_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix152-PCR1Blank2_S128/Alix152-PCR1Blank2_S128_L001_R2_001.fastq.gz	PCR1Blank2	Run2	control	control	pcr_control	pcr_control	na	na	na
